protocol,model,model_label,threshold_idr,cost_ratio_false_safe,event_count,true_exceed_rate,false_safe_rate,false_unsafe_rate,expected_loss,beta_false_safe_cons,false_safe_ci95_hi,false_unsafe_rate_rel,eligible,fallback_workload
event-disjoint target,pretrained_finetune,MLP finetune,0.03,50,8,0.0,0.0,0.0117312047101449,0.0117312047101449,4.753424308822899,0.0,0.0117312047101449,True,0.0117312047101449
event-disjoint target,pretrained_finetune,MLP finetune,0.03,100,8,0.0,0.0,0.0117312047101449,0.0117312047101449,4.753424308822899,0.0,0.0117312047101449,True,0.0117312047101449
event-disjoint target,pretrained_finetune,MLP finetune,0.04,1,8,0.0,0.0,0.006153759057971,0.006153759057971,4.753424308822899,0.0,0.006153759057971,True,0.006153759057971
event-disjoint target,pretrained_finetune,MLP finetune,0.04,2,8,0.0,0.0,0.006153759057971,0.006153759057971,4.753424308822899,0.0,0.006153759057971,True,0.006153759057971
event-disjoint target,pretrained_finetune,MLP finetune,0.04,5,8,0.0,0.0,0.006153759057971,0.006153759057971,4.753424308822899,0.0,0.006153759057971,True,0.006153759057971
event-disjoint target,pretrained_finetune,MLP finetune,0.04,10,8,0.0,0.0,0.006153759057971,0.006153759057971,4.753424308822899,0.0,0.006153759057971,True,0.006153759057971
event-disjoint target,pretrained_finetune,MLP finetune,0.04,25,8,0.0,0.0,0.006153759057971,0.006153759057971,4.753424308822899,0.0,0.006153759057971,True,0.006153759057971
event-disjoint target,pretrained_finetune,MLP finetune,0.04,50,8,0.0,0.0,0.006153759057971,0.006153759057971,4.753424308822899,0.0,0.006153759057971,True,0.006153759057971
event-disjoint target,pretrained_finetune,MLP finetune,0.04,100,8,0.0,0.0,0.006153759057971,0.006153759057971,4.753424308822899,0.0,0.006153759057971,True,0.006153759057971
event-disjoint target,rf_direct,RF direct,0.005,1,8,0.0677083333333333,0.0020437047101449,0.064753170289855,0.066796875,2.6624177743846045,0.0038790760869565,0.064753170289855,True,0.1304177989130434
event-disjoint target,rf_direct,RF direct,0.005,2,8,0.0677083333333333,0.0020437047101449,0.064753170289855,0.0688405797101449,2.6624177743846045,0.0038790760869565,0.064753170289855,True,0.1304177989130434
event-disjoint target,rf_direct,RF direct,0.005,5,8,0.0677083333333333,0.0020437047101449,0.064753170289855,0.0749716938405797,2.6624177743846045,0.0038790760869565,0.064753170289855,True,0.1304177989130434
event-disjoint target,rf_direct,RF direct,0.005,10,8,0.0677083333333333,0.0020437047101449,0.064753170289855,0.0851902173913043,2.6624177743846045,0.0038790760869565,0.064753170289855,True,0.1304177989130434
