q_log10,rmse_log,coverage_event_equal,p_false_safe,p_false_safe_u95,beta_fs_cons,p_false_unsafe,conditional_miss_event_mean,conditional_miss_pooled,n_unsafe_rows,n_events_with_unsafe,n_test_rows,n_test_events,protocol,featureset,rep,N,model
0.3974352938000063,0.28300168660830016,0.8003628334980237,0.005208333333333333,0.01484375,2.1742348816142996,0.06204710144927536,0.31239935587761675,0.43478260869565216,92,3,2992,8,event-disjoint target,base,2,100,lgbm_direct
0.2413966522616584,0.22758944819262605,0.7293030508893281,0.008520153985507248,0.019140625,2.071830513241171,0.017663043478260868,0.5476190476190476,0.6413043478260869,92,3,2992,8,event-disjoint target,base,2,100,xgb_direct
0.5242323799973021,2.0432229048484194,0.6323369565217392,0.006589673913043478,0.01830842391304348,2.0900105966002074,0.0815726902173913,0.3822751322751323,0.532608695652174,92,3,2992,8,event-disjoint target,base,2,100,scratch_mlp
0.3309827205802245,0.4123492546223591,0.5587568964097497,0.0006000905797101449,0.0012794384057971014,3.016290849381997,0.10407042572463768,0.04894179894179893,0.03260869565217391,92,3,2992,8,event-disjoint target,base,2,250,ridge_direct
0.2386911266694547,0.20661992938934087,0.7613332715744401,0.0,0.0,5.9978070150076865,0.06852355072463767,0.0,0.0,92,3,2992,8,event-disjoint target,base,2,250,lgbm_direct
0.19776479568834793,0.16987362697564176,0.7518079916007905,0.0028419384057971012,0.005706521739130435,2.5297911643150943,0.019819972826086957,0.1597078444904532,0.18478260869565216,92,3,2992,8,event-disjoint target,base,2,250,xgb_direct
0.404545752530697,1.4107326706218388,0.6339257040513835,0.005989583333333334,0.017968750000000002,2.0976338780909223,0.06787250905797101,0.3333333333333333,0.5,92,3,2992,8,event-disjoint target,base,2,250,scratch_mlp
0.2896268870393599,0.3389990204409507,0.5064265275032938,0.001749320652173913,0.004076086956521739,2.645701413211112,0.05998075181159419,0.10317460317460318,0.07608695652173914,92,3,2992,8,event-disjoint target,base,2,500,ridge_direct
0.15214929240304897,0.1631029472842798,0.641506093544137,0.00552536231884058,0.01105072463768116,2.288619854673742,0.017346014492753623,0.347135955831608,0.391304347826087,92,3,2992,8,event-disjoint target,base,2,500,lgbm_direct
0.1388077932875582,0.16494514622346224,0.6338330657114625,0.00552536231884058,0.01105072463768116,2.288619854673742,0.014107789855072463,0.347135955831608,0.391304347826087,92,3,2992,8,event-disjoint target,base,2,500,xgb_direct
0.2932132526743083,0.708626357906821,0.6245887887022398,0.005989583333333334,0.017968750000000002,2.0976338780909223,0.05135303442028985,0.3333333333333333,0.5,92,3,2992,8,event-disjoint target,base,2,500,scratch_mlp
0.3183309769526308,0.44796561382006167,0.5398164731554678,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.11375679347826087,0.08465608465608465,0.06521739130434782,92,3,2992,8,event-disjoint target,base,2,1000,ridge_direct
